bs,lat,lon,type,fog
602,13.19475707142857,111.21376971428572,rrh,600
603,13.193675668750002,111.21197418749999,rrh,600
611,13.053650042105264,111.09386805263158,rrh,610
612,13.054952254999998,111.09563895000001,rrh,610
613,13.055040304166662,111.09375583333333,rrh,610
621,13.131649019444444,111.07147556944444,rrh,620
622,13.131447229032261,111.07068189247313,rrh,620
623,13.131658251388888,111.07120836111113,rrh,620
631,13.206069297058821,110.98801688235295,rrh,630
632,13.206046762068967,110.99003327586205,rrh,630
633,13.206176940740741,110.98703474074074,rrh,630
641,13.17215997727273,111.16550731818182,rrh,640
642,13.17295326842105,111.16574605263158,rrh,640
643,13.171092191666666,111.1645385,rrh,640
651,13.126082448000002,110.97807176000002,rrh,650
652,13.126770394117647,110.9778124117647,rrh,650
653,13.127061542857145,110.97684907142855,rrh,650
661,13.132654418000001,111.12322010000004,rrh,660
662,13.131933700000001,111.12319819444446,rrh,660
663,13.131904864285712,111.12447350000002,rrh,660
671,13.252801022222222,111.03621777777776,rrh,670
672,13.2492522625,111.02897575,rrh,670
673,13.2490160375,111.027351125,rrh,670
681,13.041557304651166,111.05938725581396,rrh,680
682,13.039366326666668,111.06039606666667,rrh,680
683,13.038496757142855,111.05840752380952,rrh,680
691,13.184602803571432,111.11931217857148,rrh,690
692,13.186741397058825,111.12115126470586,rrh,690
693,13.183595216666667,111.11810627777777,rrh,690
701,13.155725079591837,111.07471104081631,rrh,700
702,13.155012759374998,111.07390646875004,rrh,700
703,13.155631378846154,111.07380178846152,rrh,700
711,13.351840900000001,111.15695,rrh,710
712,13.335652800000002,111.06456299999999,rrh,710
713,13.3529311,111.10056200000001,rrh,710
721,13.296242261764705,111.20832832352941,rrh,720
722,13.29471616388889,111.20741308333335,rrh,720
723,13.294661274999998,111.20743081250001,rrh,720
731,13.178799896000001,111.00479284000002,rrh,730
732,13.179988202777773,111.00712533333336,rrh,730
733,13.178125160000002,111.00506613333332,rrh,730
741,13.181518921428568,111.07235092857142,rrh,740
742,13.18171478809524,111.07298400000002,rrh,740
743,13.18214475,111.07278853571428,rrh,740
751,13.172417743333334,111.0982035,rrh,750
752,13.170605733333332,111.09739870833333,rrh,750
753,13.171638436363638,111.09841499999999,rrh,750
761,13.158668364285713,110.98578507142857,rrh,760
762,13.157609059090907,110.98368945454546,rrh,760
763,13.157722807142859,110.9846595,rrh,760
771,13.248492233333332,111.18328633333333,rrh,770
772,13.258217699999998,111.18254166666667,rrh,770
773,13.234175950000001,111.15921949999999,rrh,770
781,13.136666344444443,110.99754511111111,rrh,780
782,13.137734855000001,110.99765434999999,rrh,780
783,13.138238490476189,110.99860342857143,rrh,780
791,13.149936904878048,111.0117442195122,rrh,790
792,13.149824432352942,111.01270423529414,rrh,790
793,13.15000102,111.01331799999997,rrh,790
801,13.105801123214288,111.09642467857142,rrh,800
802,13.107088431707316,111.09664563414636,rrh,800
803,13.105684940740739,111.09597022222222,rrh,800
811,13.129285129729727,111.08222591891895,rrh,810
812,13.129160630508474,111.08131857627119,rrh,810
813,13.129936920588236,111.08227183823531,rrh,810
821,13.20524105416667,111.07948570833334,rrh,820
822,13.206729880645161,111.07929464516128,rrh,820
823,13.205014816,111.07945844,rrh,820
831,13.154030037735849,111.09097509433963,rrh,830
832,13.153218622222223,111.0920956111111,rrh,830
833,13.152877813888889,111.08998294444444,rrh,830
841,13.196351632558141,111.0637750930233,rrh,840
842,13.196125143478259,111.0644561304348,rrh,840
843,13.196729940000003,111.06536272000001,rrh,840
851,13.182680595652169,111.14269795652176,rrh,850
852,13.18576725333333,111.14190819999999,rrh,850
853,13.182832976190477,111.14477995238093,rrh,850
861,13.141759044444443,111.05300366666667,rrh,860
862,13.142741536842108,111.0528292631579,rrh,860
863,13.140761002702703,111.05419221621621,rrh,860
871,13.093636566666667,111.01905833333333,rrh,870
872,13.09376034285714,111.00911914285714,rrh,870
873,13.096805649999999,111.01068187499999,rrh,870
881,13.10629455,111.155929,rrh,880
882,13.109122199999998,111.199548,rrh,880
883,13.113509599999999,111.172261,rrh,880
891,13.060993962500001,111.02369300000001,rrh,890
892,13.062888836363635,111.02230045454547,rrh,890
893,13.064581563636363,111.02482409090908,rrh,890
901,13.140890111428575,111.03482994285712,rrh,900
902,13.141271990000002,111.03583147500001,rrh,900
903,13.139980711111114,111.03414137037036,rrh,900
911,13.028409433333332,111.18705606666666,rrh,910
912,13.027527483333335,111.188032125,rrh,910
913,13.028641504545455,111.18770518181819,rrh,910
921,13.083878868421055,111.06710489473684,rrh,920
922,13.083713408695651,111.06703186956521,rrh,920
923,13.084130490000002,111.06673559999999,rrh,920
931,13.166516383606552,111.0429383114754,rrh,930
932,13.166901990163932,111.04443311475406,rrh,930
933,13.166708265217391,111.04388432608697,rrh,930
941,13.038471686666664,111.10174013333332,rrh,940
942,13.03582797,111.1037062,rrh,940
943,13.038861037500002,111.108775,rrh,940
951,13.200761153846154,110.99954896153844,rrh,950
952,13.197722029629631,111.00168266666667,rrh,950
953,13.199055640000001,110.99974927999997,rrh,950
961,13.242065066666667,110.98835816666669,rrh,960
962,13.238595,110.992211,rrh,960
963,13.247196524999998,110.99123750000001,rrh,960
971,13.100049928571428,110.95928464285714,rrh,970
972,13.102033388888891,110.95914444444445,rrh,970
973,13.099713624999998,110.95937066666666,rrh,970
982,13.217110525,111.213376,rrh,980
983,13.219272225,111.21425574999999,rrh,980
991,13.10756835,111.0596483,rrh,990
992,13.107235647999996,111.05982132000001,rrh,990
993,13.105884060869565,111.059006,rrh,990
99300,13.3529311,111.24182533333334,cloud,99300
