from,to,distance
130,990,11.198310688151908
130,131,0.45349653918673716
130,132,0.10550874108588904
130,133,0.44084148297675657
130,99300,44.04927321934844
140,10,8.804622025704347
140,20,10.805380322227393
140,30,8.340209967415536
140,40,9.865393840754688
140,70,3.8471129756350764
140,80,8.764935353971445
140,120,6.560794178738449
140,140,0.0
140,160,11.390446249093149
140,170,5.525271465798094
140,190,2.9420003112831967
140,210,11.859624458819379
140,230,2.1909147189527904
140,240,8.669785658899315
140,250,8.048239104832234
140,260,5.946262002702813
140,280,10.921953073935722
140,290,11.942859638736303
140,300,8.200122692784117
140,310,7.309008701230926
140,320,8.888680964547907
140,340,9.242500642556658
140,360,1.9983077015477555
140,380,8.440014228370398
140,460,9.35552439281121
140,480,9.515101449108414
140,490,6.542839482176277
140,500,4.388414876618304
140,520,11.959892223973158
140,530,11.78432430060576
140,540,3.5501122346264826
140,550,11.551514305263835
140,560,9.638489747772349
140,570,6.75772622167975
140,580,5.341252699990286
140,590,4.260879326574452
140,620,10.143141799323825
140,630,11.44760907485443
140,640,9.47137836311174
140,660,10.322805558430142
140,670,7.510891391029546
140,690,4.843215977402951
140,700,7.494948588276569
140,730,10.50338893085899
140,740,4.810882344952986
140,750,5.431333783975257
140,770,9.609167945324824
140,790,11.717635943606524
140,810,10.164313535040742
140,820,2.190725157848884
140,830,7.430772433489442
140,840,4.086731064281363
140,850,6.789831805937811
140,860,9.730476110065705
140,900,10.842252167686048
140,930,7.999983295664125
140,950,10.31213625209422
140,960,11.404602634066357
140,141,0.02383236073834648
140,142,0.031889346090680074
140,143,0.014093502611560192
140,99300,21.833336795832246
150,10,5.339907858493308
150,20,6.860009497905959
150,40,5.93644837857809
150,50,5.585190166522943
150,70,10.391597208494195
150,80,12.040298841383704
150,100,10.315211798088303
150,110,8.35049477024462
150,120,9.655455102885675
150,130,9.266540694478259
150,150,0.0
150,160,5.184150074218174
150,170,9.07446423218244
150,200,8.17535823779118
150,210,7.176669847517274
150,220,4.485110216769261
150,250,6.067137939242703
150,260,8.172773256917472
150,270,7.8554839861302685
150,290,10.763663724292275
150,300,9.950048214756201
150,310,8.582400696143454
150,320,5.875107140943818
150,330,6.237470021321271
150,340,6.634465171670632
150,350,8.603600082947645
150,380,9.854376281683537
150,390,2.63832700695764
150,400,7.674846480348796
150,430,10.651403559255346
150,440,9.496154366981333
150,460,8.160511499825265
150,470,2.764051129613991
150,480,5.071409653970363
150,490,7.622827471177081
150,510,5.495022115915176
150,520,2.3544234432708517
150,530,7.9504816496723
150,550,3.87495878204186
150,560,7.358966542954866
150,570,10.81006134705032
150,580,10.398074513072615
150,610,8.128639160498972
150,620,4.481430277248282
150,630,12.557760447190736
150,650,7.161641737672298
150,660,9.539750231740081
150,680,7.5074708583447665
150,690,12.428592785107993
150,700,6.717055326782
150,730,9.031342972145183
150,740,9.248279690912891
150,750,9.715461318944508
150,760,8.411334691779857
150,780,5.817275274406078
150,790,5.818064634681585
150,800,6.109482015299436
150,810,5.2996568951866045
150,820,11.991020226759806
150,830,7.728064921872191
150,840,10.504002470474038
150,860,4.339116290704094
150,870,3.1008415036183696
150,890,4.992738540709798
150,900,4.020458458269239
150,920,3.7500900436492297
150,930,6.877400549176601
150,940,10.246790771104896
150,950,11.319786530197922
150,970,8.756607750085578
150,990,2.1219214172648093
150,151,0.17536566721732172
150,152,0.12083587669419325
150,153,0.13308452357728945
150,99300,35.17818495018742
160,10,3.6852533365539686
160,20,1.6793072603940797
160,30,11.632711074996298
160,40,7.559029031218524
160,50,8.084229970102419
160,70,7.563577779261108
160,100,7.983751226727511
160,120,5.4472815853204795
160,140,11.390446249093149
160,150,5.184150074218174
160,160,0.0
160,170,8.046356013821512
160,200,12.358681473335686
160,210,10.012959210358522
160,220,2.3110306604308417
160,230,9.520766368508243
160,240,7.627928232483363
160,250,5.338664213156615
160,260,5.779539894311947
160,270,5.5154656586592
160,300,5.103253859958562
160,310,8.810829153306942
160,320,2.702389422202357
160,330,5.315814984425283
160,340,2.209400571069446
160,350,5.1695878861837565
160,360,11.799320377032656
160,380,10.79558046467959
160,390,7.151183424941544
160,400,8.189581550400352
160,430,7.2327560763002525
160,460,3.1794267397941813
160,470,5.934422314653178
160,480,5.963128721456508
160,490,6.421236951671786
160,500,10.79815418067262
160,510,6.675347265140431
160,520,5.098627186100556
160,530,2.888859271090004
160,550,1.3913717326288528
160,560,8.961651871107982
160,570,10.922188965588882
160,580,9.737623923006712
160,610,7.11322883021757
160,620,2.2042455967212105
160,640,10.49949139627174
160,650,11.762087697660952
160,660,4.3644612167038135
160,680,9.119633337020051
160,690,8.328925474138375
160,700,4.350237543284062
160,730,11.015360438463821
160,740,7.231172945676253
160,750,6.09990306718011
160,760,11.843007636299795
160,780,9.776300641676796
160,790,8.707699926959098
160,800,1.7352916504441533
160,810,1.3424552286011298
160,820,9.779015654925177
160,830,3.976291618111292
160,840,9.021223871669497
160,850,9.565548427315393
160,860,4.408223823270969
160,870,8.276842739474684
160,880,9.258421752014872
160,890,9.113128975845934
160,900,6.066413106795293
160,920,4.319314270038639
160,930,7.08418647933219
160,940,9.136835546215154
160,990,3.122205527693206
160,161,0.022234708372413498
160,162,0.07694183335541153
160,163,0.05342062755928281
160,99300,31.094799849419815
170,10,4.503208522041172
170,20,8.281367094064473
170,30,11.534420502185434
170,40,4.340239857452679
170,70,3.296460022332065
170,80,5.569227075490778
170,110,12.55740778041849
170,120,5.873556259346537
170,140,5.525271465798094
170,150,9.07446423218244
170,160,8.046356013821512
170,170,0.0
170,190,6.437336386195998
170,210,6.500196305379186
170,220,9.994934378323496
170,230,5.164361251344752
170,240,9.666555837336443
170,250,3.0995339778797026
170,260,2.717900083353559
170,290,7.505970323537329
170,300,7.657469986375544
170,310,2.101935054337821
170,320,5.3748527313377785
170,340,6.472332941100794
170,360,7.128599199426709
170,380,4.014472321972752
170,390,8.422816951402236
170,460,7.59011850139228
170,470,11.608571032412653
170,480,4.15165009007434
170,490,1.6495955047224398
170,500,8.229984341740117
170,520,6.800511503192867
170,530,9.714421891072417
170,540,8.473005241242483
170,550,7.6022883200655285
170,560,4.2683754576911666
170,570,3.2024284172499518
170,580,1.7040076695218227
170,590,5.48638037135621
170,620,6.104492198678117
170,630,7.83091808927105
170,640,11.781775024305746
170,650,10.78631050119244
170,660,9.248828454120334
170,670,7.833156043367395
170,690,6.76641321237748
170,700,3.7397246910080084
170,730,5.614444660483734
170,740,1.7033497049363147
170,750,4.642723927543494
170,760,8.427181192319521
170,780,8.313203869150144
170,790,6.213145152733879
170,800,9.711214260378847
170,810,6.707722247640801
170,820,3.336465357138029
170,830,5.058152625895667
170,840,1.4979165562978838
170,850,9.302428033853522
170,860,4.806265515421523
170,870,11.09018940250373
170,900,5.456464220638835
170,920,11.27480530172407
170,930,2.49305020532378
170,950,6.371020507032795
170,960,9.688929262347266
170,990,8.66923211044556
170,171,0.09514125101675269
170,172,0.06279584275594328
170,173,0.08960570249812948
170,99300,27.35285647267346
180,80,7.632750187214793
180,180,0.0
180,190,12.521472141698593
180,210,11.76715832271254
180,290,8.18458693626531
180,310,11.747439195655925
180,380,9.694830347931166
180,450,4.085362685491783
180,560,11.748244589379045
180,570,9.928406525232347
180,580,11.574596419254402
180,590,10.655983581531878
180,630,6.318803581806229
180,670,7.651349136400683
180,730,9.864662996292513
180,760,11.216635780481385
180,950,7.65286368815018
180,960,3.5473143652694
180,181,0.12004258226769954
180,182,0.15251898666522354
180,183,0.149723750331346
180,99300,32.28017628475096
190,10,10.56977883434795
190,30,11.07773003123643
190,40,10.476531463251703
190,70,6.160476720183117
190,80,7.525439501252543
190,120,9.251040229515667
190,140,2.9420003112831967
190,170,6.437336386195998
190,180,12.521472141698593
190,190,0.0
190,210,11.8984380421526
190,230,5.077904703754804
190,240,11.607988829117025
190,250,9.446341952575573
190,260,7.878444590929643
190,290,11.089925851986383
190,300,10.988910190403335
190,310,7.585288727381262
190,320,10.973914117919149
190,340,11.583310089708062
190,360,4.467988959189184
190,380,7.964898563079114
190,450,11.000343914536659
190,460,11.95681263503886
190,480,10.575511317357556
190,490,7.894128838348821
190,500,7.154103576879991
190,540,2.443400641573831
190,560,9.829957695540418
190,570,6.1757572579467634
190,580,5.440713666088144
190,590,2.125234327474083
190,620,12.07033922212985
190,630,10.12055387958718
190,640,12.344598371041666
190,670,4.906417040085727
190,690,7.778697009528504
190,700,9.411444167654786
190,710,12.372827389059172
190,730,10.114879691104628
190,740,6.48452145823674
190,750,8.002840131027043
190,770,11.06713286806033
190,790,12.099328290764161
190,810,12.318747462748076
190,820,3.842723506321122
190,830,9.786754699895372
190,840,4.9912459507666025
190,850,9.690080781361194
190,860,11.18071733220107
190,900,11.858664164682127
190,930,8.834503820666615
190,950,9.282855224393707
190,960,9.18650945261528
190,191,0.25592178750934974
190,192,0.16624234596809037
190,193,0.3633416252060211
190,99300,21.97710291736144
200,50,5.0009036818964265
200,100,12.55516246376608
200,110,9.709454824989809
200,130,4.546406577927389
200,150,8.17535823779118
200,160,12.358681473335686
200,200,0.0
200,220,10.453813131151659
200,270,11.308608883895655
200,330,9.34513457013846
200,390,8.875591701766444
200,400,7.664520535222964
200,440,2.2737925244385453
200,470,6.424871959248202
200,510,6.918021549523641
200,520,10.299933565082497
200,550,11.423666255251991
200,610,9.846211614815202
200,620,12.466114848620714
200,650,10.063102122564155
200,680,5.93081232086717
200,780,10.86766238438928
200,790,12.255945176079788
200,800,12.361829812445745
200,860,12.48398289463706
200,870,6.161493722659873
200,890,3.2769761576411183
200,900,11.683317663900107
200,920,8.324882021772057
200,940,10.85919523897892
200,970,8.335819105637341
200,990,9.515149107349185
200,201,0.2858501688491281
200,202,0.0513043838450414
200,203,0.08592510735311455
200,99300,43.241978541603785
210,10,7.000915858039939
210,20,11.216707494079246
210,40,2.7564328516877072
210,50,12.47986795971306
210,70,9.605847970734398
210,80,5.772015402413987
210,110,6.261273514880818
210,120,11.167632255676924
210,130,11.660266953928472
210,140,11.859624458819379
210,150,7.176669847517274
210,160,10.012959210358522
210,170,6.500196305379186
210,180,11.76715832271254
210,190,11.8984380421526
210,210,0.0
210,220,10.767546901421095
210,230,11.656741028756647
210,250,5.799937139411247
210,260,8.000747114893798
210,290,3.5985709069306067
210,300,12.519886218023982
210,310,4.550880865212425
210,320,8.424233691530494
210,340,9.837959969450981
210,380,4.099992711795924
210,390,4.836149875066318
210,460,11.526392605881274
210,470,9.83702177482222
210,480,4.282174522935967
210,490,6.350462249501623
210,520,5.338571767768443
210,550,8.786563878518894
210,560,2.2359656689024296
210,570,5.794532907928384
210,580,6.603178531956974
210,590,10.143843515489506
210,620,7.9189326716036135
210,630,5.5029614459911995
210,650,4.554852077426309
210,670,10.612322527843792
210,700,7.651936497746826
210,730,2.2585811906472104
210,740,7.915843528928167
